店铺名称,店铺地址,种类,平均消费价格,店铺评分,评价人数,地区
辣爷重庆老火锅（温泉镇店）,海淀区温泉路尚峰尚水（尚品园D121）,重庆火锅,86.0,4.8,305,海淀区
芈重山老火锅（五道口店）,海淀区成府路35号五道口东源大厦2层东侧,重庆火锅,100.0,4.9,386,五道口
高兴火锅（知春路总店）,海淀区知春路甲20号,四川火锅,85.0,4.9,2498,知春路
高兴火锅（五道口店）,海淀区成府路35号五道口东源大厦6层,四川火锅,107.0,5.0,737,五道口
井格重庆火锅（五道口店）,海淀区成府路29号五道口国际食尚苑内,重庆火锅,97.0,4.5,424,五道口
九号重庆火锅（六道口店）,海淀区学清路甲18号中关村东升科技园学院一层A区101室,重庆火锅,100.0,4.7,3100,五道口
九九嗨吃火锅中心（航天桥店）,海淀区西三环中路航天桥西南角航天商务院内1楼（近九头鸟餐厅）,重庆火锅,92.0,4.8,154,航天桥
辣麻麻老灶火锅（人大紫金店）,海淀区万泉河路68号2楼,重庆火锅,81.0,4.5,1200,苏州桥
重八牛府之初入江湖（双榆树店）,海淀区双榆树东里15号一零一中学西门西行30米,火锅,81.0,4.9,5340,双榆树
宽板凳老灶火锅（永丰路店）,海淀区北清路68号院23号楼B1层北侧区域中段,重庆火锅,81.0,4.5,1876,西北旺
川椒缘火锅（民大西路店）,海淀区民族大学西路18号5号楼3层,川味火锅,90.0,4.5,318,魏公村
小有名重庆老火锅（建西苑店）,海淀区八角东街建西苑北里14号楼底商,重庆火锅,78.0,4.9,165,古城/八角
有拈头成都市井火锅（KALCITY能量城市店）,海淀区板井路69号能量城市B-L205、206层（KALCITY能量城市）,四川火锅,110.0,4.8,39,远大路
小码头重庆火锅（皂君东里店）,海淀区皂君庙路皂君东里36号楼（法雅体育商场北侧）,火锅,61.0,4.7,7038,大钟寺
小码头重庆火锅（永泰店）,海淀区永泰庄西路6号院一层,重庆火锅,71.0,4.7,3317,清河
海底捞火锅（紫竹桥店）,海淀区北洼路4号苏宁电器四层,四川火锅,108.0,4.9,78,紫竹桥
重庆地瓜老火锅（西四环北路总店）,海淀区西四环北路136号金泰海博大酒店2楼,重庆火锅,89.0,4.8,1981,四季青
重八牛府之小刀牛试（魏公村店）,海淀区中关村南大街2号华宇时尚购物中心夹层,特色火锅,98.0,4.9,4172,魏公村
龙船码头·成都醉美火锅（海淀店）,海淀区知春路地铁F口对面大运村公寓9号楼底商,四川火锅,116.0,4.9,603,知春路
唇辣号重庆老火锅（五道口店）,海淀区双清路西王庄5号楼1楼,重庆火锅,84.0,4.7,1855,五道口
小龙坎火锅（西直门店）,海淀区交大东路31号,四川火锅,111.0,4.3,793,北下关
凤王府成都火锅（北京西山店）,海淀区杏石口路80号,四川火锅,110.0,4.7,182,四季青
重八牛府之四海来客（食宝街店）,海淀区海淀区光耀东方中心100号,特色火锅,98.0,4.9,306,航天桥
芈重山老火锅（公主坟店）,海淀区复兴路城乡购物中心西侧2层（新华旅游观光电梯上二楼）,重庆火锅,95.0,4.8,319,公主坟/万寿路
HI辣火锅（五棵松店）,海淀区复兴路华熙live东区玛莎拉蒂北侧右转街内和畅小镇对面,四川火锅,101.0,4.4,2497,五棵松
沸炉鲜货火锅（军事博物馆店）,海淀区北蜂窝路14号（汉庭酒店北行100米，羊坊店派出所旁）,重庆火锅,94.0,4.8,736,北京西站/军博
巴奴毛肚火锅（北京新中关店）,海淀区中关村大街19号 新中关购物中心4层,重庆火锅,172.0,4.9,3,中关村
谭鸭血老火锅（五道口店）,海淀区成府路29号五道口国际食尚苑二楼,四川火锅,118.0,4.3,83,五道口
井格重庆火锅（当代商城店）,海淀区中关村南大街40号当代商城1栋7层702,重庆火锅,93.0,4.8,54,双榆树
洋马儿火锅（北京直营店）,海淀区北三环中路40号院b座101,重庆火锅,95.0,4.6,184,牡丹园/北太平庄
宽板凳老灶火锅（八角店）,海淀区八角东街京成商厦一层,重庆火锅,96.0,4.7,172,古城/八角
小码头重庆火锅二里庄店,海淀区志新西路11-14号,重庆火锅,63.0,4.4,1962,五道口
谭鸭血老火锅（五道口店）,海淀区成府路29号五道口国际食尚苑二楼,四川火锅,118.0,4.3,83,五道口
功夫潮牛潮汕牛肉火锅（上地店）,海淀区信息路19号（华联商厦对面）,潮汕牛肉火锅,99.0,4.6,748,上地
谭鸭血老火锅（中关村店）,海淀区中关村大街15-9号（食宝街一期2层，新东方斜对面，地铁4/10号线海淀黄庄站A2西北口）,四川火锅,128.0,4.3,185,中关村
井格重庆火锅（牡丹园店）,海淀区花园东路甲32号3层301室（吉野家楼上）,重庆火锅,102.0,4.9,177,牡丹园/北太平庄
小码头重庆火锅（明光村店）,海淀区西直门北大街明光村东门（天方饭店对面）,重庆火锅,58.0,4.4,3993,牡丹园/北太平庄
攀成钢小郡肝串串香（海淀直营总店）,海淀区成府路五道口国际食尚苑B区3层南侧（井格右手边楼梯上3楼）,串串香,99.0,4.8,749,五道口
磁器铜锅涮肉（学院南路店）,海淀区学院南路33号康福瑞假日酒店底商A2-2号磁器铜锅涮肉,老北京火锅,68.0,4.8,1481,北下关
102蹄花火锅（苏州桥店）,海淀区北三环西路甲60号（苏州桥东）,四川火锅,57.0,4.7,390,苏州桥
宽板凳老灶火锅（上地店）,海淀区上地西路41号院内（近上地华联北侧）,重庆火锅,88.0,4.1,1965,上地
小山娘川辣火锅（上地店）,海淀区东北旺西路8号院38号地下一层106,重庆火锅,85.0,4.8,1197,上地
沸炉鲜货火锅牡丹园店,海淀区花园路2号翠微百货西门北20米（牡丹集团西门）,重庆火锅,99.0,4.9,935,牡丹园/北太平庄
锅底儿火锅（永定路店）,海淀区复兴路甲36号百朗园社区（东门口）,四川火锅,88.0,4.1,147,五棵松
小龙坎火锅（清华园店）,海淀区中关村东路1号院清华科技园科技大厦C座102号,四川火锅,114.0,4.1,213,五道口
牛麒荟潮汕牛肉火锅（双清路店）,海淀区双清路6号院1号楼（7天酒店旁）,潮汕牛肉火锅,93.0,4.9,556,五道口
老街火锅（阜成路店）,海淀区阜成路定慧北里23号蓝宏中心1-2层,重庆火锅,108.0,4.7,121,五棵松
超岛串串火锅（龙湖星悦荟店）,海淀区龙湖北京西苑星悦荟,串串香,105.0,4.3,156,颐和园
寻鲜记·老北京铜锅涮肉（西客站食宝街店）,海淀区羊坊店路18号西站食宝街2层正对电梯,老北京火锅,108.0,4.3,221,北京西站/军博
沸炉鲜货火锅（龙湖星悦荟店）,海淀区中直路1号龙湖星悦荟1层（近西苑地铁站C1口，北京大学）,重庆火锅,113.0,4.5,550,颐和园
重八牛府之不忘初心（学院路店）,海淀区学清路10号院1号楼学清嘉创大厦A座2层,火锅,98.0,4.9,542,五道口
井格重庆火锅（圆明园农大店）,海淀区农大南路肖家河新村东区北门旁,重庆火锅,115.0,4.2,677,上地
贤合庄卤味火锅（万柳华联店）,海淀区巴沟路2号北京华联万柳购物中心B1,四川火锅,120.0,4.2,92,万柳
小山娘川辣火锅（凯德晶品店）,海淀区复兴路51号凯德晶品购物中心4层,重庆火锅,100.0,4.7,105,公主坟/万寿路
海底捞火锅（牡丹园店）,海淀区花园东路2号,四川火锅,101.0,4.8,140,牡丹园/北太平庄
唇辣号重庆老火锅（人民大学店）,海淀区苏州街57号,重庆火锅,100.0,4.4,119,中关村
黄仕秀吃火锅中心（五道口店）,海淀区学院路20号,重庆火锅,108.0,4.5,116,五道口
浩爷羊蝎子火锅（双榆树店）,海淀区双榆树一街双榆树北里甲18号（当代商场北侧、双榆树一街东行200米路北）,羊蝎子火锅,122.0,4.8,2173,双榆树
正福居老北京涮肉（彰化路店）,海淀区彰化路33号一层中段及二层（近西单翅酷）,老北京火锅,69.0,4.6,1262,四季青
102蹄花火锅（北大南门店）,海淀区海淀路19-1号中成大厦1楼（近理想国际大厦）,四川火锅,73.0,4.6,239,中关村
福口居（北太平庄店）,海淀区北太平庄北三环中路40号（近国美）,老北京火锅,63.0,4.9,10003,牡丹园/北太平庄
妈妈酥肉老火锅（八一制片厂店）,海淀区莲宝路十号院北门北平盛世旁边,四川火锅,80.0,4.8,257,六里桥/丽泽桥
滚滚火锅（学清路店）,海淀区学清嘉创大厦A座三层,四川火锅,102.0,4.8,7,五道口
